mode,persona,run,total_deaths,system_deaths,natural_deaths,admin_waste_eur,proactive_alerts,ketenzorg_interventions,er_admissions,peak_burnout,avg_burnout,sick_leave_events,bias_score,fairness_guardrail
SOLL,on,82,4,2,1,5594,234,113,40,16,3.5,0,0.562,0
SOLL,on,83,13,11,2,5594,549,449,119,24,6.95,0,0.3,0
SOLL,on,84,5,1,4,5594,262,63,51,15,3.8,0,0.3,0
SOLL,on,85,9,6,3,5594,316,245,58,17,4.5,0,0.3,0
SOLL,on,86,8,6,2,5594,238,113,57,18,3.7,0,0.48,1
SOLL,on,87,3,3,0,5594,430,201,87,18,5.85,0,0.3,0
SOLL,on,88,3,1,2,5594,135,56,40,13,2.6,0,0.3,0
SOLL,on,89,8,6,2,5594,463,249,87,21,6,0,0.3,0
SOLL,on,90,4,3,1,5594,340,165,58,16,4.75,0,0.406,1
SOLL,on,91,7,6,1,5594,266,170,59,19,3.7,0,0.3,1
SOLL,on,92,7,4,3,5594,350,98,69,23,4.95,0,0.3,0
SOLL,on,93,7,4,3,5594,433,186,97,19,5.6,0,0.3,1
SOLL,on,94,3,3,0,5594,501,306,95,20,6.3,0,0.3,1
SOLL,on,95,7,7,0,5594,298,295,68,17,4.4,0,0.6,1
SOLL,on,96,8,6,1,5594,478,264,70,19,6.35,0,0.682,0
SOLL,on,97,5,5,0,5594,342,235,78,20,4.8,0,0.7,1
SOLL,on,98,1,1,0,5594,103,26,28,12,1.65,0,0.3,0
SOLL,on,99,3,2,1,5594,308,136,77,17,4.65,0,0.3,0
SOLL,on,100,3,3,0,5594,452,381,87,18,6.1,0,0.3,1
